179		       		179				179				179
  161.0      0.5456E-01	    161.0      0.9657E-01	   161.0      0.5853E-01	   161.0      0.8997E-01
  162.0      0.5865E-01	    162.0      0.1014    	   162.0      0.6228E-01	   162.0      0.9051E-01
  163.0      0.6297E-01	    163.0      0.1062    	   163.0      0.6597E-01	   163.0      0.9141E-01
  164.0      0.6746E-01	    164.0      0.1109    	   164.0      0.6959E-01	   164.0      0.9264E-01
  165.0      0.7204E-01	    165.0      0.1156    	   165.0      0.7313E-01	   165.0      0.9410E-01
  166.0      0.7666E-01	    166.0      0.1203    	   166.0      0.7657E-01	   166.0      0.9572E-01
  167.0      0.8124E-01	    167.0      0.1249    	   167.0      0.7992E-01	   167.0      0.9738E-01
  168.0      0.8571E-01	    168.0      0.1294    	   168.0      0.8319E-01	   168.0      0.9897E-01
  169.0      0.8999E-01	    169.0      0.1337    	   169.0      0.8637E-01	   169.0      0.1004    
  170.0      0.9400E-01	    170.0      0.1379    	   170.0      0.8946E-01	   170.0      0.1016    
  171.0      0.9767E-01	    171.0      0.1418    	   171.0      0.9243E-01	   171.0      0.1024    
  172.0      0.1009    	    172.0      0.1454    	   172.0      0.9526E-01	   172.0      0.1029    
  173.0      0.1037    	    173.0      0.1487    	   173.0      0.9792E-01	   173.0      0.1030    
  174.0      0.1061    	    174.0      0.1517    	   174.0      0.1004    	   174.0      0.1029    
  175.0      0.1079    	    175.0      0.1542    	   175.0      0.1025    	   175.0      0.1025    
  176.0      0.1093    	    176.0      0.1563    	   176.0      0.1044    	   176.0      0.1020    
  177.0      0.1104    	    177.0      0.1580    	   177.0      0.1059    	   177.0      0.1014    
  178.0      0.1111    	    178.0      0.1591    	   178.0      0.1070    	   178.0      0.1010    
  179.0      0.1114    	    179.0      0.1598    	   179.0      0.1076    	   179.0      0.1007    
 

















































































































































































































































































































































































































































































































































































































































































































































