179	179	179	179
   129.0       3.081		   129.0	2.000	 	   129.0	 1.692	  	   129.0	  1.478
   130.0       3.010		   130.0	1.939	 	   130.0	 1.640	  	   130.0	  1.442
   131.0       2.946		   131.0	1.880	 	   131.0	 1.589	  	   131.0	  1.407
   132.0       2.887		   132.0	1.824	 	   132.0	 1.539	  	   132.0	  1.371
   133.0       2.834		   133.0	1.772	 	   133.0	 1.492	  	   133.0	  1.336
   134.0       2.786		   134.0	1.723	 	   134.0	 1.447	  	   134.0	  1.302
   135.0       2.744		   135.0	1.677	 	   135.0	 1.405	  	   135.0	  1.269
   136.0       2.707		   136.0	1.634	 	   136.0	 1.366	  	   136.0	  1.237
   137.0       2.675		   137.0	1.594	 	   137.0	 1.329	  	   137.0	  1.206
   138.0       2.648		   138.0	1.558	 	   138.0	 1.296	  	   138.0	  1.176
   139.0       2.625		   139.0	1.525	 	   139.0	 1.266	  	   139.0	  1.148
   140.0       2.606		   140.0	1.495	 	   140.0	 1.239	  	   140.0	  1.122
   141.0       2.591		   141.0	1.468	 	   141.0	 1.215	  	   141.0	  1.098
   142.0       2.579		   142.0	1.444	 	   142.0	 1.195	  	   142.0	  1.075
   143.0       2.571		   143.0	1.423	 	   143.0	 1.178	  	   143.0	  1.054
   144.0       2.565		   144.0	1.406	 	   144.0	 1.164	  	   144.0	  1.035
   145.0       2.562		   145.0	1.390	 	   145.0	 1.153	  	   145.0	  1.018
   146.0       2.562		   146.0	1.378	 	   146.0	 1.145	  	   146.0	  1.003
   147.0       2.563		   147.0	1.368	 	   147.0	 1.140	  	   147.0	 0.9894
   148.0       2.566		   148.0	1.361	 	   148.0	 1.137	  	   148.0	 0.9779
   149.0       2.571		   149.0	1.356	 	   149.0	 1.138	  	   149.0	 0.9681
   150.0       2.576		   150.0	1.353	 	   150.0	 1.140	  	   150.0	 0.9601
   151.0       2.583		   151.0	1.352	 	   151.0	 1.145	  	   151.0	 0.9538
   152.0       2.590		   152.0	1.352	 	   152.0	 1.153	  	   152.0	 0.9491
   153.0       2.597		   153.0	1.354	 	   153.0	 1.162	  	   153.0	 0.9459
   154.0       2.605		   154.0	1.358	 	   154.0	 1.174	  	   154.0	 0.9442
   155.0       2.613		   155.0	1.362	 	   155.0	 1.186	  	   155.0	 0.9439
   156.0       2.620		   156.0	1.367	 	   156.0	 1.201	  	   156.0	 0.9450
   157.0       2.627		   157.0	1.373	 	   157.0	 1.217	  	   157.0	 0.9472
   158.0       2.634		   158.0	1.380	 	   158.0	 1.234	  	   158.0	 0.9505
   159.0       2.640		   159.0	1.387	 	   159.0	 1.252	  	   159.0	 0.9549
   160.0       2.646		   160.0	1.394	 	   160.0	 1.270	  	   160.0	 0.9601
   161.0       2.651		   161.0	1.402	 	   161.0	 1.289	  	   161.0	 0.9661
   162.0       2.655		   162.0	1.410	 	   162.0	 1.309	  	   162.0	 0.9727
   163.0       2.659		   163.0	1.418	 	   163.0	 1.328	  	   163.0	 0.9798
   164.0       2.662		   164.0	1.426	 	   164.0	 1.348	  	   164.0	 0.9873
   165.0       2.665		   165.0	1.435	 	   165.0	 1.367	  	   165.0	 0.9950
   166.0       2.668		   166.0	1.443	 	   166.0	 1.386	  	   166.0	  1.003
   167.0       2.670		   167.0	1.451	 	   167.0	 1.404	  	   167.0	  1.010
   168.0       2.672		   168.0	1.460	 	   168.0	 1.421	  	   168.0	  1.018
   169.0       2.673		   169.0	1.468	 	   169.0	 1.438	  	   169.0	  1.025
   170.0       2.675		   170.0	1.475	 	   170.0	 1.453	  	   170.0	  1.032
   171.0       2.676		   171.0	1.483	 	   171.0	 1.468	  	   171.0	  1.039
   172.0       2.677		   172.0	1.490	 	   172.0	 1.481	  	   172.0	  1.045
   173.0       2.678		   173.0	1.496	 	   173.0	 1.492	  	   173.0	  1.050
   174.0       2.679		   174.0	1.502	 	   174.0	 1.502	  	   174.0	  1.055
   175.0       2.679		   175.0	1.508	 	   175.0	 1.511	  	   175.0	  1.059
   176.0       2.680		   176.0	1.512	 	   176.0	 1.518	  	   176.0	  1.062
   177.0       2.681		   177.0	1.516	 	   177.0	 1.524	  	   177.0	  1.065
   178.0       2.681		   178.0	1.518	 	   178.0	 1.528	  	   178.0	  1.066
   179.0       2.681		   179.0	1.520	 	   179.0	 1.530	  	   179.0	  1.068

